"Height","Roughness","Segregation","Diversity"
-12.4152225660081,-15.098569860611,-0.938269383037407,-0.464485127387805
-12.3760259652803,-13.9159509749602,-0.881556889410049,-0.513433565758359
-12.7166003136893,-16.1180956509583,-1.33222676090232,-0.216222984331713
-12.2301962267163,-13.1233646771792,-0.67077289944276,-0.708619598818962
-12.3011152411383,-13.9682355108813,-0.589159310023297,-0.799574884435861
-13.0332962815201,-16.1180956509583,-1.28666415810215,-0.176623416361142
-12.2363927561601,-13.5695338995372,-0.712149923848651,-0.659977729615076
-12.4157953605146,-14.7416981021237,-1.10658871210108,-0.357657494692772
-12.3977403013621,-16.1180956509583,-0.903433532444236,-0.488153253641401
-12.674612386783,-16.1180956509583,-1.34164899796719,-0.225671872351121
-12.6808351000445,-16.1180956509583,-1.54044457428059,-0.100083348030673
-12.6063150159075,-16.1180956509583,-1.18199357152026,-0.280301832801226
-12.4973705003849,-13.9375282596761,-0.891468834829403,-0.50117202699986
-12.5017213004324,-16.1180956509583,-1.06087167179642,-0.367724635680883
-12.7229223778572,-16.1180956509583,-1.33222676090232,-0.216222984331713
-12.8089119551786,-16.1180956509583,-1.54044457428059,-0.100083348030673
-12.5152447842027,-16.1180956509583,-0.990981355088025,-0.405464958108176
-12.7662685016726,-16.1180956509583,-1.39586340828997,-0.170957679499579
-12.2512584532038,-13.624500122776,-0.581711395288114,-0.810127272743475
-12.3883790024396,-13.4583733208995,-0.618876992771505,-0.763378403212946
-12.6626001273217,-16.1180956509583,-1.35196923207582,-0.190545638225759
-12.951411207848,-16.1180956509583,-1.60943741243423,-0.0689927643441001
-12.2200947642048,-13.4760111633788,-0.622195991396889,-0.765251370240596
-12.3309952574141,-16.1180956509583,-0.741932898395895,-0.621444950747812
-12.0198973572408,-13.4908840047835,-0.560426631374135,-0.844084917430486
-12.5361420759334,-13.4176026671578,-0.915755970447887,-0.485919520038221
-12.648269997601,-16.1180956509583,-1.38407420526858,-0.18098899171997
-12.4573369036411,-16.1180956509583,-0.969779153088912,-0.430782762246312
-13.0133224428048,-16.1180956509583,-1.48427432830372,-0.0689927643441001
-12.4283388318416,-13.9750093467992,-0.643499432026056,-0.734350260941084
-12.4750036237451,-16.1180956509583,-1.2000175991763,-0.286098112660279
-12.3605326065133,-14.5128685917357,-0.8646893656722,-0.521556057646362
-12.567103921663,-16.1180956509583,-1.22411703030218,-0.273537433604951
-11.9380623167902,-12.9947209025024,-0.628622465927427,-0.75688343803281
-11.8996846498835,-13.21214920964,-0.467678073532376,-0.981269195858714
