"Height","Roughness","Segregation","Diversity"
-12.9508668672492,-16.1180956509583,-1.60943741243423,-0.0689927643441001
-12.7517685659158,-16.1180956509583,-1.43508410528941,-0.154150563160598
-13.0187495863821,-16.1180956509583,-1.23623332228192,-0.176623416361142
-12.5630384889189,-16.1180956509583,-1.18199357152026,-0.280301832801226
-12.5620975150988,-16.1180956509583,-1.18199357152026,-0.280301832801226
-12.4270680058597,-16.1180956509583,-1.06250699466433,-0.380055246346248
-12.4208438430156,-16.1180956509583,-1.06250699466433,-0.380055246346248
-12.457549315543,-13.8612885632427,-0.860423308904018,-0.519071883943181
-12.454601443,-13.8592482573571,-0.860423308904018,-0.519071883943181
-12.5056041122484,-13.3312891076575,-0.739090802836092,-0.633928760134308
-12.2788111660674,-13.6642185608087,-0.655866159258042,-0.720980627032362
-12.2645461825892,-13.7482855742983,-0.655866159258042,-0.720980627032362
-12.2125686657233,-13.618360515121,-0.614069483307922,-0.773989348954007
-12.1642096570322,-13.7629113092968,-0.614069483307922,-0.773989348954007
-12.0688234516679,-13.4297359659775,-0.587004281094978,-0.809067943814144
-12.0419840818862,-13.4753778954484,-0.587010224456721,-0.809067943814144
-11.9327915714752,-13.3108659093899,-0.5711339996447,-0.83060479076295
-11.8916717706952,-13.466244206398,-0.570956290558048,-0.83060479076295
-11.7262233319956,-13.6117768456967,-0.565744829769105,-0.838136764015614
