"Height","Roughness","Segregation","Diversity"
-12.9163895864244,-16.1180956509583,-1.60943741243423,-0.0689927643441001
-12.8020227004157,-16.1180956509583,-1.45189121648715,-0.144933909126011
-12.8589535059283,-16.1180956509583,-1.34432977845929,-0.160653139887059
-12.6397403339647,-16.1180956509583,-1.24802637911946,-0.250794954140055
-12.6150398789265,-16.1180956509583,-1.24802637911946,-0.250794954140055
-12.437286675727,-16.1180956509583,-1.1608073731379,-0.324335519123718
-12.4280513755122,-16.1180956509583,-1.1608073731379,-0.324335519123718
-12.4243817765085,-14.3807932474986,-0.95504311289387,-0.452797892813659
-12.3882407740948,-14.5710481684626,-0.95504311289387,-0.452797892813659
-12.4678801310278,-13.4599585743095,-0.841733628774833,-0.546129713067501
-12.2796258997735,-13.5161586659524,-0.754269488474721,-0.625142610452446
-12.2692380298518,-13.4457645217927,-0.754269488474721,-0.625142610452446
-12.228288738894,-13.1851846780571,-0.716403545760954,-0.665396833234627
-12.2304169446221,-13.1839682182951,-0.716338031017952,-0.665396833234627
-12.0434427021947,-13.1839812720646,-0.692592505859327,-0.691120857309265
-11.9671341733319,-13.3445184930107,-0.69218741350168,-0.691120857309265
-11.7771272366205,-13.5595654936146,-0.677801653734331,-0.705484748594396
-11.7242777448641,-13.612940696294,-0.674666687779039,-0.705484748594396
-11.573486679422,-13.7720038588245,-0.670998130282642,-0.710468169310161
