"Height","Roughness","Segregation","Diversity"
-13.0733818029836,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734017993557,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0733979904921,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734532204343,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0733827551827,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734113215782,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0733951338539,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734027515738,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734132260335,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734303662951,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734446500709,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734513159028,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0732047097121,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0733494287527,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0733922772239,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0733637113724,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734436978129,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0726878909626,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0734541727015,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
-13.0733599026539,-16.1180956509583,-1.60943741243423,9.9999995058387e-08
