"KsHET","Ko2HET","Kno2HET","Kno3HET","Knh4AOB","Ko2AOB","Kno2NOB","Ko2NOB","MumHET","MumAOB","MumNOB","etaHET","bHET","bAOB","bNOB","bEPS","YHET","YAOB","YNOB","YEPS","Y1","Do2","Dnh4","Dno2","Dno3","Ds","diffT","s","o2","no2","no3","nh4","y1","y2","y3","y4"
0.515067848401842,0.686484843908169,0.509796755543483,0.502943972926174,0.446063654896491,0.365010270640067,0.410416592567532,0.318563958708806,0.661763287309703,0.48688490644825,0.726508640043298,0.833207174394251,0.511011384263212,0.393790562387667,0.751423083047332,0.592743332979118,0.846081612865168,0.316780302158836,0.589704995425992,0.777115948763559,0.796607997575727,0.365307310610898,0.829189114159001,0.341909622973095,0.379151659384011,0.472411244595846,0.398077097634843,1,0.993889684735529,0.999900858511698,0.99990553178855,0,-12.4230065168767,-15.1427287896812,-0.938269383037407,-0.464485127387805
0.631173094490852,0.255957986030811,0.56795851742915,0.22783666449316,0.618301281323315,0.600481676792847,0.591745565960586,0.556933794932446,0.26590946109029,0.914958087570108,0.544195661426349,0.664586179019918,0.139960958023698,0.358238372813113,0.913250745319556,0.88664366914447,0.604132524837052,0.672850303417504,0.408906492678191,0.247740675888071,0.263273306742336,0.412850624457813,0.39594143026561,0.137711308377877,0.312228365601091,0.0625750770449549,0.299984677301174,1,0.993889684735529,0.999900858511698,0.99990553178855,0,-12.4137312104927,-13.7799658237195,-0.881556889410049,-0.513433565758359
0.813778818411631,0.995582331894147,0.526793883414141,0.64053683932694,0.687748604888412,0.542757618066149,0.405261844749375,0.752779325530463,0.963445732205842,0.602830819629195,0.781273989553522,0.12764614484372,0,0.00260378917768334,0.61709602649539,0.597657058098919,0.684025897585479,0.798818854099161,0.902262865520184,0.84765762724411,0.113985699355058,0.935056871703866,0.056685546648302,0.168051956873532,0.177966735079478,0.112327316208886,0.748037151620907,1,0.993889684735529,0.999900858511698,0.99990553178855,0,-12.9094132024765,-16.1180956509583,-1.60943741243423,-0.0689927643441001
0.31202101549542,0.588592508557061,0.275846774504698,0.198307017249474,0.453188407467985,0.385889933460487,0.676739193133191,0.299591019172676,0.781268334691039,0.912213972469886,0.685067984986105,0.623048445558977,0.356167517186525,0.49319582983604,0.0948931308806311,0.143329809257376,0.236933631523736,0.0618162947370011,0.429016698764817,0.539575664211271,0.878088396285303,0.317955612089246,0.0353575735838216,0.380972024600293,0.859659350419597,0.429905134143753,0.340421643415206,0.999882510376402,0.993783461545717,0.999900858511698,0.99990553178855,0,-12.3084428957506,-13.3950424548647,-0.748975418629656,-0.626066457189721
0.161691590858314,0.737447045817035,0.331848801838329,0.752375804297837,0.290118035105557,0.65151030907909,0.611679235508339,0.202246726461541,0.116985273139226,0.14408938737177,0.49157389309859,0.946901713809795,0.18083412050975,0.856412638579258,0.67817206882461,0.504326750276961,0.315101288129459,0.591026863246573,0.706887454987723,0.825161351493495,0.478857480674939,0.132478368636358,0.278158671545713,0.591041284703149,0.196996615050198,0.306230092578691,0.857944667699331,0.99999926107155,0.993889684735529,0.999900858511698,0.99990553178855,0,-12.389758492545,-13.7771286580549,-0.641877007612215,-0.732264432374458
0.2488885264448,0.343976578247467,0.354075083573093,0.78381604175582,0.269878024479823,0.650127956237662,0.58397027532602,0.45990918411773,0.24281491589596,0.476467825104376,0.84599359456373,0.630451458041251,0.209523602296072,0.878319209646133,0.0203930638378787,0.764176686250441,0.244529507050759,0.103904282637797,0.328008449787628,0.71299143268338,0.627198132419229,0.209447694997932,0.23583125971718,0.731518864547606,0.51735541225292,0.743152616968273,0.139518154625485,1,0.993889684735529,0.999900858511698,0.99990553178855,0,-12.7646602622149,-16.1180956509583,-1.43508410528941,-0.154150563160598
0.349334795115305,0.456200015057584,0.813729848757788,0.0775938610177412,0.652240893773255,0.302590573603205,0.179432837682423,0.0218603556850786,0.86975333595463,0.0611477984821761,0.257468227590453,0.951908964151953,0.428279289353679,0.870427474164186,0.614664927711273,0.245890852523483,0.0830554430024558,0.347053446166408,0.551633798785452,0.357817729169888,0.383640736762352,0.453214429352629,0.812657274468644,0.150880392380387,0.637774381900354,0.537290772505303,0.188677537122821,0.999917978942017,0.993784454285808,0.999887461013279,0.99990553178855,0,-12.4484094648377,-13.536506278885,-0.827085427774145,-0.54758007151769
0.889613615045345,0.782658743624504,0.684939152735837,0.702237497290996,0.333826107653793,0.508335480271869,0.76794689874439,0.244384289715025,0.802140853749303,0.679348327017686,0.837687352182907,0.599941265328333,0.794963112608764,0.490979795138638,0.828543422818353,0.416829755671617,0.448529839393438,0.6113273941852,0.558920336590611,0.0710665753209165,0.388023137215463,0.155828525391007,0.545577993313777,0.687572143875894,0.765046687914224,0.36327619738245,0.628360599596813,0.999998522143099,0.993884721035071,0.999900858511698,0.99990553178855,0,-12.5238598987944,-16.1180956509583,-1.31227672456558,-0.24355795982208
0.797904338432977,0.944595656342826,0.131100082002626,0.187962267390637,0.543005174748407,0.842114226005113,0.736044858236361,0.358333304728236,0.301292112447619,0.438923016797718,0.924598013208612,0.715202224124179,0.0488385776450406,0.10756641195364,0.83974260675161,0.393106505410757,0.496883208014762,0.49151438564902,0.116208456692077,0.751855225784624,0.428215098033479,0.813063836330451,0.0986817065923736,0.447934981389312,0.584040847019399,0.71780506043486,0.195344439928058,1,0.993889684735529,0.999900858511698,0.99990553178855,0,-12.3999083969751,-16.1180956509583,-0.903433532444236,-0.488153253641401
0.755500753461059,0.379878137765705,0.0709548323950979,0.108734736763321,0.0979692551122588,0.664337291016031,0.113676050971452,0.768390799552088,0.0798764935453524,0.640535074032194,0.0552927604249107,0.565306432873332,0.987716985436698,0.280075064137463,0.948200360780519,0.937351816753359,0.838241474904036,0.769027881041021,0.510988069224141,0.0209453619357031,0.801060234471778,0.530112418147573,0.339214274575156,0.729133219371606,0.90554451543182,0.490492132642763,0.835502727054109,1,0.993889684735529,0.999900858511698,0.99990553178855,0,-12.6782142385927,-16.1180956509583,-1.34164899796719,-0.225671872351121
