"Height","Roughness","Segregation","Diversity"
-12.9571659383183,-16.1180956509583,-1.60943741243423,-0.0689927643441001
-12.812765470875,-16.1180956509583,-1.50122387907602,-0.11921251580504
-12.8894905097579,-16.1180956509583,-1.51412727808442,-0.0979802980660922
-12.6471458641058,-16.1180956509583,-1.39266340684954,-0.178519151299631
-12.5964391139408,-16.1180956509583,-1.39266340684954,-0.178519151299631
-12.5215321637814,-16.1180956509583,-1.23266295375358,-0.284680565145789
-12.5153352448053,-16.1180956509583,-1.23266295375358,-0.284680565145789
-12.3959990459842,-16.1180956509583,-1.08103837623897,-0.369110601269309
-12.4578263159781,-14.6985481066415,-1.08103837623897,-0.369110601269309
-12.5689913268065,-13.3652639445549,-0.889496985702409,-0.506807370205162
-12.3387265565876,-13.9326566914716,-0.819908076140485,-0.56581182125444
-12.346917957872,-13.8135023843954,-0.819908076140485,-0.56581182125444
-12.2097682659308,-13.677160567852,-0.747321671907481,-0.634398838536552
-12.2448200920251,-13.5210212880128,-0.747321671907481,-0.634398838536552
-12.073220696175,-13.5906466099027,-0.723011104281411,-0.659560105838578
-12.1319580591126,-13.2859566650484,-0.722984404073394,-0.659560105838578
-11.9686450388143,-13.3382399198951,-0.700448580016778,-0.683647017316541
-11.9305989175767,-13.4278623074968,-0.699603319066181,-0.683647017316541
-11.7803175125834,-13.6027093494288,-0.695498539966397,-0.687857674696682
