"FD","Fractal","nparticle","mass"
-13.055277680847,-0.756113478854884,1.6094379124341,-34.8022293117452
-13.0748100593025,-0.747371503639082,1.6094379124341,-34.8608264726383
-13.0522821659632,-0.756838125743385,1.6094379124341,-34.7932422838312
-13.0732101056261,-0.747206921441738,1.6094379124341,-34.8560207576101
-13.0575861717008,-0.756465168586035,1.6094379124341,-34.8091529421603
-13.0618772619912,-0.753287431010218,1.6094379124341,-34.8220249764899
-13.0647127658407,-0.754524660550109,1.6094379124341,-34.8305326221382
-13.0683621054886,-0.751033314122242,1.6094379124341,-34.8414854760992
-13.0648394785481,-0.752349282496754,1.6094379124341,-34.8309079516523
-13.0600955593286,-0.755178569772032,1.6094379124341,-34.8166822770834
-13.0706453780251,-0.748006205982759,1.6094379124341,-34.8483319574156
-13.0742958153116,-0.748730319100446,1.6094379124341,-34.8592843219457
-13.0538966872879,-0.755436412944469,1.6094379124341,-34.798086129209
-13.0594283307039,-0.755205713129758,1.6094379124341,-34.8146819502175
-13.0637113426009,-0.753330080005509,1.6094379124341,-34.827528906745
-13.064606523649,-0.754309748987464,1.6094379124341,-34.8302171222641
-13.0755252688137,-0.745532057472141,1.6094379124341,-34.8629707343364
-13.0470460960475,-0.756786196378259,1.6094379124341,-34.7775339630107
-13.0747353124452,-0.748458295070777,1.6094379124341,-34.8606037728816
-13.0605996356821,-0.754852126328807,1.6094379124341,-34.8181911361174
