"FD","Fractal","nparticle","mass"
-13.0467394070276,-0.810726933761724,1.79175946922805,-34.8421859517442
-13.0340579303107,-0.81319281245308,1.79175946922805,-34.8006474950037
-13.0932586437889,-0.863739392680455,1.79175946922805,-34.9716091026991
-13.0011575757025,-0.899734965349244,1.94591014905531,-34.6942459006734
-12.980308098173,-0.905347752037204,1.94591014905531,-34.6275469306768
-12.9561393217455,-0.901779443619217,1.94591014905531,-34.5507387231137
-12.9498064602042,-0.919518594091695,1.94591014905531,-34.5203731737777
-12.8969267404371,-0.979854789198348,2.07944154167984,-34.3643313011711
-12.9258653254675,-0.976881883932633,2.07944154167984,-34.452910444505
-12.8223938835275,-1.12920318921693,2.36085400111802,-34.1322935049183
-12.7793912123774,-1.20184232572115,2.51769647261099,-33.9993880434615
-12.7327395540675,-1.20004050635842,2.51769647261099,-33.855832708397
-12.6826574195216,-1.32927021162967,2.82137888640921,-33.70232680076
-12.6294173878217,-1.32960084904845,2.82137888640921,-33.5397068019855
-12.5332734890057,-1.46253246595792,3.40784192438082,-33.3418484570863
-12.4809738572476,-1.44433044948991,3.40784192438082,-33.1684684604921
-12.4056569565244,-1.55497531444465,3.76120011569356,-32.9744529602856
-12.3510319613822,-1.53299719926279,3.76120011569356,-32.7904379771187
-12.252449811667,-1.64433587845224,4.25134831103177,-32.5726310642251
-12.1995584596119,-1.61401650669902,4.25134831103177,-32.383512347712
-12.1436064715046,-1.71870900721284,4.47733681447821,-32.1894867436835
-12.08495824213,-1.81646883480892,4.74493212836325,-31.9913425326547
-12.023975182114,-1.79793863610669,4.74493212836325,-31.7897751865547
-11.9609980268738,-1.89469842446982,5.04213396115563,-31.5853829707198
-11.8963396173145,-1.88066080349847,5.04213396115563,-31.3786734524121
-11.8302776669096,-1.97285795173364,5.37249676472229,-31.1700730397458
-11.763054734099,-1.96271923421029,5.37249676472229,-30.9599340869751
-11.6948810185961,-2.04634087540773,5.71241180135426,-30.7485578884943
-11.625932806739,-2.03907364133086,5.71241180135426,-30.5361866347886
-11.5563617547847,-2.11822909191157,6.07764224334903,-30.3230318540639
-11.4862906662681,-2.18583498214585,6.4377516497364,-30.1092582524328
-11.4158210556133,-2.1823931513693,6.4377516497364,-29.8950015758731
-11.3172965216878,-2.23343009744913,6.99209642741589,-29.6623168886741
-11.251591348913,-2.22059701611735,6.99209642741589,-29.451163098995
-11.1467301208765,-2.27409958045225,7.55611427675195,-29.2129799745518
-11.0858740622167,-2.25259034890736,7.55611427675195,-29.0055587188314
-10.991149091798,-2.30413687469697,8.0296282612248,-28.7752491754744
-10.9327699720753,-2.27597558228379,8.0296282612248,-28.5695357614179
-10.8490920745876,-2.34492786854199,8.43363765430908,-28.3460514630728
-10.7906157776604,-2.31703915056508,8.43363765430908,-28.1407838746458
-10.7300300506197,-2.39607973598304,8.69141536995354,-27.9342155905025
-10.6676859747986,-2.46708469546791,8.98306328938037,-27.7267155426311
-10.603959480223,-2.45053637976516,8.98306328938037,-27.5187748471981
-10.5392126073173,-2.51556477219829,9.29587566008245,-27.3108933903761
-10.4737089561798,-2.50368983254613,9.29587566008245,-27.1033268836813
-10.4078078186379,-2.5632635137003,9.62673223177327,-26.8967070958627
-10.3417564216363,-2.55493047709123,9.62673223177327,-26.6913808120715
-10.2757288026356,-2.60809339113801,9.9674290204729,-26.4875362539361
-10.2101937117437,-2.60230353246886,9.9674290204729,-26.286324440338
-10.1382949509607,-2.63962080084829,10.3604249390133,-26.0833125771257
-10.034915065905,-2.66049920337776,10.9312803023759,-25.8615153893257
-9.97977822205013,-2.64279817581208,10.9312803023759,-25.675869442433
-9.87984119511817,-2.6675691069632,11.4386673276961,-25.4624721917236
-9.83201247628319,-2.64195300428619,11.4386673276961,-25.2896285911918
-9.75470910418433,-2.68472689130502,11.8120962882605,-25.0998422421212
-9.71065274936841,-2.65808546696461,11.8120962882605,-24.9379978466556
-9.65910766050925,-2.71218141243132,12.0517004411682,-24.7761239283169
-9.6163560640661,-2.68938110769838,12.0517004411682,-24.6247316584947
-9.57393966836568,-2.7424682125305,12.2462707654812,-24.4779552697308
-9.53226563875467,-2.72356698316444,12.2462707654812,-24.3365172468715
-9.4911343806795,-2.77145560244831,12.4427277039281,-24.1992025962842
-9.44960754030793,-2.80967327919941,12.6471410343293,-24.0664267518475
