"FD","Fractal","nparticle","mass"
-13.0204709958635,-0.811158832846284,1.79175946922805,-34.7570256926471
-12.9882347467548,-0.875608427592785,1.94591014905531,-34.7357060523455
-13.0316757297329,-0.896401799213084,1.94591014905531,-34.8945483894881
-12.9092798169544,-0.994856336345107,2.21920348405499,-34.5354153794564
-12.8926276430523,-0.977456190171803,2.21920348405499,-34.468944811774
-12.8038187720066,-1.14489565814702,2.58021682959233,-34.252347758682
-12.7604957039965,-1.11559673211375,2.58021682959233,-34.0918713034367
-12.6516408650751,-1.29392973767046,3.06339092202781,-33.8658990188172
-12.601855720615,-1.24898011177855,3.06339092202781,-33.6691805308334
-12.4887967404329,-1.4531724352682,3.62700405039585,-33.4094525389166
-12.3745957789934,-1.59816356682412,4.08092154188996,-33.1351515410754
-12.3209001422583,-1.54120616563798,4.08092154188996,-32.9023524226286
-12.1917099794947,-1.71587825191573,4.61115225766564,-32.597857686394
-12.1345724295792,-1.65417857012369,4.61115225766564,-32.3485047736714
-12.000014686441,-1.81348892164443,5.17161971350208,-32.0284678914203
-11.940717522623,-1.74813171135308,5.17161971350208,-31.7688652763793
-11.8083729675805,-1.90034445716635,5.72031177660741,-31.4442984219864
-11.7467638776855,-1.83433551955299,5.72031177660741,-31.1775296340529
-11.6170404670395,-1.97547971553675,6.25074714503806,-30.8518831706459
-11.5529798394984,-1.91016367371635,6.25074714503806,-30.5798473961248
-11.4201487439507,-2.04811066692899,6.80039276065364,-30.2500709822123
-11.2816134109781,-2.18483020801601,7.3595949376002,-29.9127810731547
-11.2229219934568,-2.11654173833379,7.3595949376002,-29.6459971084132
-11.0873836409963,-2.24537257114635,7.91227664425065,-29.3115950739037
-11.027220725251,-2.17793465473322,7.91227664425065,-29.0432384040968
-10.8928284930172,-2.30171186346253,8.46669957719925,-28.7111826545808
-10.8316574679516,-2.2354724212979,8.46669957719925,-28.4428309963425
-10.6992318003836,-2.35281613385276,9.01825934611379,-28.1150946993089
-10.6376406231518,-2.28807044672413,9.01825934611379,-27.848823062703
-10.5090335272893,-2.39970606820638,9.5574274993455,-27.5286793421004
-10.3781813268579,-2.50871423767631,10.0838488559549,-27.2077434110659
-10.3240315038605,-2.44459715620587,10.0838488559549,-26.9589425347461
-10.1984178183635,-2.54875459891275,10.5986726551216,-26.652495344648
-10.1464938794826,-2.48831795088191,10.5986726551216,-26.4167793593045
-10.030229873185,-2.58349849595131,11.0793941601305,-26.1323750450132
-9.98241660566532,-2.52777972006004,11.0793941601305,-25.9172923907538
-9.87448384181732,-2.61530710705309,11.532108292387,-25.6579942756279
-9.8317140993546,-2.56326354788694,11.532108292387,-25.4654553305321
-9.73451290018695,-2.6428356196959,11.9462015704814,-25.2343156792673
-9.69610918524212,-2.59306830240104,11.9462015704814,-25.0607707451878
-9.60838143838199,-2.66634024647756,12.3233284311035,-24.8540347090549
-9.52462581277255,-2.72938868636983,12.6620698917533,-24.6554285654754
-9.49541388882134,-2.68593515840286,12.6620698917533,-24.51336235289
-9.41833100510157,-2.74499562093153,12.9774652272679,-24.3341754329377
-9.39218842060425,-2.70338445134737,12.9774652272679,-24.2060705950474
-9.32268935804212,-2.75752773190664,13.2618741578062,-24.0440038626611
