"FD","Fractal","nparticle","mass"
-13.0218379883617,-0.810876243823583,1.79175946922805,-34.7610661857821
-12.9836333637251,-0.884687269526422,1.94591014905531,-34.7356206737845
-13.0353928980565,-0.9076435882763,1.94591014905531,-34.9552235546029
-12.8866572155047,-1.03970691389434,2.30258509299405,-34.53498471841
-12.860947082688,-1.01976794632168,2.30258509299405,-34.4332060960589
-12.7682689740248,-1.2068795573087,2.70805020110221,-34.2659940247791
-12.7376993878964,-1.16237035692562,2.70805020110221,-34.1345178343884
-12.6348640212145,-1.3629552855702,3.17805383034795,-33.9295199017613
-12.5996004733447,-1.31518521605068,3.17805383034795,-33.7691140596442
-12.4858663810937,-1.46318073925832,3.60549784517489,-33.528393681662
-12.3612593818177,-1.63637997440941,4.11087386417331,-33.2624322365226
-12.326180405233,-1.58111546617343,4.11087386417331,-33.075837689094
-12.1969107010403,-1.72946857358546,4.59107126160859,-32.7879604890504
-12.1593532242321,-1.66564109942145,4.59107126160859,-32.5859296239417
-12.0280130689335,-1.81663060138089,5.08140436498446,-32.2844345276542
-11.9882425058017,-1.74804773526356,5.08140436498446,-32.0711294956921
-11.8540339316119,-1.90401556230172,5.59471137960184,-31.7595913179096
-11.8125326872069,-1.83335209569612,5.59471137960184,-31.5386148927878
-11.6780937648193,-1.97331913430292,6.09627491146033,-31.2226934451948
-11.6350261258456,-1.90096497858973,6.09627491146033,-30.9962379670679
-11.5014298716168,-2.03975134413569,6.60340167224238,-30.6790217916806
-11.3625679223058,-2.17352632469517,7.11020620707126,-30.3516985243493
-11.3241047523116,-2.09983187871556,7.11020620707126,-30.1314253608511
-11.1859176639544,-2.23219276636172,7.62403287693094,-29.8048367424479
-11.1462398563727,-2.15836279028718,7.62403287693094,-29.5820948112532
-11.0097006508888,-2.28409939288964,8.1375127822818,-29.2582301793211
-10.9689586148048,-2.21058426514699,8.1375127822818,-29.0341100874539
-10.8342647233031,-2.32978645692403,8.64583263796033,-28.7142376161492
-10.7927755593087,-2.25708810993323,8.64583263796033,-28.4903131270489
-10.660060120465,-2.37268667565225,9.14795419954009,-28.1756489439467
-10.524325644573,-2.48545602083998,9.64944655339404,-27.8556423533082
-10.4889480115403,-2.41431119476107,9.64944655339404,-27.6472462145265
-10.3570241010837,-2.5202816372984,10.1405576773783,-27.337221290236
-10.3221485531608,-2.45110944360538,10.1405576773783,-27.134738604637
-10.1953676370287,-2.55081247708829,10.6165108871009,-26.8379961574039
-10.1619846851495,-2.48468858436481,10.6165108871009,-26.6458883625511
-10.0416312631049,-2.58020526200174,11.078168508985,-26.3665771176853
-10.0106503341417,-2.51780506919767,11.078168508985,-26.1885062456646
-9.90009953936699,-2.60462091483479,11.5098387058273,-25.9335125542709
-9.87190554615071,-2.54590200739407,11.5098387058273,-25.7709659346406
-9.77353323045461,-2.62577566288827,11.8957713428778,-25.5430265874802
-9.67918560803876,-2.69651408890076,12.2491761953226,-25.3226682809044
-9.65833093817212,-2.64510119069723,12.2491761953226,-25.1902176402781
-9.5712723988006,-2.7108285911359,12.5784034937259,-24.9902560562183
-9.55249610899666,-2.66238293153751,12.5784034937259,-24.8700945280995
-9.47620352913118,-2.72194284540424,12.8667534509523,-24.6921194148217
-9.45932442216496,-2.67637861912747,12.8667534509523,-24.5836752044562
-9.38639895071963,-2.7331308816741,13.1431690309133,-24.4171721563643
-9.37124621550343,-2.68962069596227,13.1431690309133,-24.3185187196763
-9.3068606917041,-2.74217008437737,13.3864449357091,-24.1691375164331
-9.24160007759101,-2.78887517447956,13.6253144783361,-24.0202899894286
-9.22965629893775,-2.75107824776086,13.6253144783361,-23.9350078198406
-9.17100676672095,-2.79463261601304,13.8399971005432,-23.7986449887393
-9.15986973243026,-2.75784007364032,13.8399971005432,-23.7187622826368
-9.10315915442765,-2.80114037438783,14.048003388249,-23.5895055386462
-9.09261401840706,-2.76471126983409,14.048003388249,-23.5133840659181
-9.0401587586966,-2.80603836477423,14.2412744665506,-23.3934345892735
-9.03032409895198,-2.77021686038925,14.2412744665506,-23.3218180922868
-8.97947969199741,-2.8108844253431,14.4269016193548,-23.2059222000018
-8.97014380899601,-2.77513105292108,14.4269016193548,-23.1374834309307
-8.9216609614006,-2.81467421006529,14.6037472879308,-23.0263922568869
-8.87307821940926,-2.85079149720621,14.7762507451602,-22.9153255611466
