"FD","Fractal","nparticle","mass"
-13.0470334743799,-0.810784628965924,1.79175946922805,-34.8434120913255
-13.035092816598,-0.814345960281382,1.79175946922805,-34.8044876563286
-13.0989231869302,-0.863464183933086,1.79175946922805,-34.9906083418145
-13.0053762592839,-0.897149444155661,1.94591014905531,-34.7085692210503
-12.9871558294517,-0.905831425815812,1.94591014905531,-34.6502637301438
-12.9664063079242,-0.90795610565557,1.94591014905531,-34.584235708527
-12.969683747463,-0.932138570470249,1.94591014905531,-34.5833309383997
-12.916587213055,-0.9874465214297,2.07944154167984,-34.4269810148728
-12.9081156624549,-0.981111961479126,2.07944154167984,-34.3980688753867
-12.9146303068836,-1.1044792543864,2.24070968927596,-34.4043977635443
-12.8193352328563,-1.18438542039548,2.484906649788,-34.1237580341144
-12.7808053325786,-1.1768036429818,2.484906649788,-34.0046372401723
-12.7393322699789,-1.28408814485618,2.70805020110221,-33.8769158217683
-12.6950580190112,-1.27782134022454,2.70805020110221,-33.7410489223883
-12.6481592342313,-1.36800193369401,2.91235066461494,-33.597592845708
-12.5988422763424,-1.36035950719008,2.91235066461494,-33.4471695558714
-12.5079594089015,-1.48931273543354,3.47196645255036,-33.2639184068106
-12.4601069055543,-1.47438318750613,3.47196645255036,-33.1057169157869
-12.3901610151359,-1.55293139397235,3.76584049525006,-32.9285847070367
-12.3407467160306,-1.53289528720325,3.76584049525006,-32.7621508022762
-12.2487889115141,-1.65135788414643,4.2570301444992,-32.5636166228889
-12.2012107810353,-1.73188465017226,4.45201900649392,-32.3932881691617
-12.151126364916,-1.71043203120313,4.45201900649392,-32.218867690136
-12.0987961632106,-1.79851446115908,4.6802776584749,-32.0409403914461
-12.0444796523336,-1.78089006169125,4.6802776584749,-31.860028636377
-11.9884288668978,-1.86520216488889,4.93447393313069,-31.6765934848856
-11.9308806952476,-1.85132154334407,4.93447393313069,-31.4910412920886
-11.8720516799318,-1.93812930334712,5.22467082637974,-31.3037201573264
-11.8121356334143,-1.92763267136435,5.22467082637974,-31.1149261416951
-11.7513051407174,-2.00729308958239,5.53101513066706,-30.9249165241263
-11.6897115629049,-2.07768810573,5.84122288377744,-30.733910683714
-11.6274862296505,-2.07216054365262,5.84122288377744,-30.5420960543131
-11.5647449421921,-2.14149281244069,6.1837364347551,-30.3496419795034
-11.5015783044167,-2.13756732503876,6.1837364347551,-30.1566668957202
-11.4380747718046,-2.19736253292163,6.50458752992266,-29.9633076197521
-11.3743111717028,-2.19450589510289,6.50458752992266,-29.7696842377313
-11.2955772409186,-2.24148382515415,6.95387521459569,-29.5665348507278
-11.2340788006483,-2.23368975189774,6.95387521459569,-29.3743718144627
-11.1295559047032,-2.27028777474767,7.55276208421415,-29.1529589935948
-11.0740851653139,-2.2517979039033,7.55276208421415,-28.9655789617898
-10.9881147288107,-2.29548813918165,7.99138928446953,-28.7578464896319
-10.9031307013209,-2.35494887760489,8.39678671755314,-28.5495492081227
-10.8532291320274,-2.32742770123145,8.39678671755314,-28.3671518591272
-10.8013390636488,-2.39570930512147,8.6187384381829,-28.1834685601917
-10.7477417706163,-2.37397560458642,8.6187384381829,-27.9988563931273
-10.692778594058,-2.44054784016592,8.86804722668997,-27.8138671941358
-10.6367266575301,-2.42391357605767,8.86804722668997,-27.6288479677524
-10.5798402032585,-2.48587814338141,9.13830716907635,-27.4441060803456
-10.5225123217125,-2.47343345109337,9.13830716907635,-27.2604354302642
-10.4648937276929,-2.53028338306837,9.42230163388782,-27.0778962569187
-10.4072859870274,-2.57921581010477,9.71400844145557,-26.8970794502309
-10.3500036083717,-2.57219555361003,9.71400844145557,-26.7186550837843
-10.2908499091405,-2.61428378554973,10.0237918515796,-26.5412531921113
-10.2352295615892,-2.60831749809034,10.0237918515796,-26.3690646414123
-10.1589927637027,-2.62943320071201,10.4508630181597,-26.186782588844
-10.1085162630624,-2.61815642235098,10.4508630181597,-26.024147371275
-10.0136620976099,-2.63007378092002,10.9747286444081,-25.8357975164438
-9.97121611959512,-2.610185022846,10.9747286444081,-25.6868653362142
-9.89353577080623,-2.63837115127283,11.3663702001426,-25.5171454521432
-9.85639945705197,-2.61501413119988,11.3663702001426,-25.380595807487
-9.8023252008466,-2.65795982230097,11.6261791474646,-25.2353132292642
-9.76519007882699,-2.70233200731643,11.7935980281111,-25.1066756601188
